"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"269",100,100,99,99,0,0,0,60,60,75,NA,100,75,30,NA,"lightly favorable"
"270",50,51,50,51,12,95,98,22,50,11,49,19,50,88,50,"unfavorable"
"271",75,99,76,76,50,79,99,6,51,4,61,10,28,98,38,"lightly favorable"
"272",26,85,80,82,5,82,79,2,51,0,28,80,1,82,NA,"lightly favorable"
"273",75,75,72,87,39,94,82,11,40,11,5,85,0,99,NA,"unfavorable"
"274",60,85,80,90,10,95,95,80,50,10,75,75,20,95,50,"unfavorable"
"275",91,100,89,94,NA,95,100,NA,26,NA,NA,90,NA,99,51,"unfavorable"
"276",1,51,90,100,91,100,69,NA,100,100,NA,100,100,87,NA,"favorable"
"277",98,100,97,100,98,99,99,25,99,1,51,48,2,100,100,"favorable"
"278",90,81,97,98,91,100,73,88,94,51,3,91,85,72,1,"favorable"
"279",81,71,78,79,69,91,83,0,76,0,60,80,0,80,91,"favorable"
"280",100,61,100,94,80,90,0,95,91,77,40,89,91,54,0,"favorable"
"281",51,51,50,50,9,78,79,5,37,NA,28,49,2,78,51,"unfavorable"
"282",50,48,40,41,41,38,51,20,42,41,50,21,50,89,13,"unfavorable"
"283",80,80,80,85,10,85,96,3,46,1,65,50,6,90,1,"unfavorable"
"284",60,76,76,75,50,52,87,11,51,7,51,51,6,77,NA,"lightly favorable"
"285",50,27,83,100,96,51,1,50,79,78,0,100,99,50,2,"favorable"
"286",77,61,70,91,31,81,91,29,78,6,28,12,1,90,3,"favorable"
"287",90,90,90,90,90,90,90,90,90,20,41,90,60,90,0,"favorable"
"288",90,90,90,95,79,90,50,90,84,69,11,90,75,80,2,"favorable"
"289",75,76,78,75,60,61,80,23,68,26,37,50,27,81,50,"lightly favorable"
